type,date,China,Japan,Singapore,HongKong,SouthKorea,Italy,Iran,US,Thailand,Germany,Kuwait,France,Bahrain,Spain,Taiwan,UK,Switzerland,Malaysia,Norway,Netherlands
val1,01/22/2020,547.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val1,01/23/2020,639.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val1,01/24/2020,916.0,2.0,3.0,2.0,2.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
val1,01/25/2020,1399.0,2.0,3.0,5.0,2.0,0.0,0.0,2.0,7.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
val1,01/26/2020,2062.0,4.0,4.0,8.0,3.0,0.0,0.0,5.0,8.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0
val1,01/27/2020,2863.0,4.0,5.0,8.0,4.0,0.0,0.0,5.0,8.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0
val1,01/28/2020,5494.0,7.0,7.0,8.0,4.0,0.0,0.0,5.0,14.0,4.0,0.0,4.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0
val1,01/29/2020,6070.0,7.0,7.0,10.0,4.0,0.0,0.0,5.0,14.0,4.0,0.0,5.0,0.0,0.0,8.0,0.0,0.0,7.0,0.0,0.0
val1,01/30/2020,8124.0,11.0,10.0,10.0,4.0,0.0,0.0,5.0,14.0,4.0,0.0,5.0,0.0,0.0,9.0,0.0,0.0,8.0,0.0,0.0
val1,01/31/2020,9783.0,15.0,13.0,12.0,11.0,2.0,0.0,6.0,19.0,5.0,0.0,5.0,0.0,0.0,10.0,2.0,0.0,8.0,0.0,0.0
val1,02/01/2020,11871.0,20.0,16.0,13.0,12.0,2.0,0.0,8.0,19.0,8.0,0.0,6.0,0.0,1.0,10.0,2.0,0.0,8.0,0.0,0.0
val1,02/02/2020,16607.0,20.0,18.0,15.0,15.0,2.0,0.0,8.0,19.0,10.0,0.0,6.0,0.0,1.0,10.0,2.0,0.0,8.0,0.0,0.0
val1,02/03/2020,19693.0,20.0,18.0,15.0,15.0,2.0,0.0,11.0,19.0,12.0,0.0,6.0,0.0,1.0,10.0,2.0,0.0,8.0,0.0,0.0
val1,02/04/2020,23680.0,22.0,24.0,17.0,16.0,2.0,0.0,11.0,25.0,12.0,0.0,6.0,0.0,1.0,11.0,2.0,0.0,10.0,0.0,0.0
val1,02/05/2020,27409.0,22.0,28.0,21.0,19.0,2.0,0.0,12.0,25.0,12.0,0.0,6.0,0.0,1.0,11.0,2.0,0.0,12.0,0.0,0.0
