Confirmed,Country,gdp
5621.0,South Korea,1411245589976.63
3089.0,Italy,1858913163927.72
2922.0,Iran,418976679728.567
331.0,Japan,4940158776617.16
285.0,France,2465453975282.24
262.0,Germany,3477796274496.8
222.0,Spain,1237255019653.86
110.0,Singapore,296975678610.206
105.0,Hong Kong,320914302646.157
90.0,Switzerland,668851296244.236
85.0,UK,2647898654635.24
56.0,Kuwait,110875579086.69801
56.0,Norway,371076190476.19
52.0,Bahrain,32179069148.9362
50.0,Malaysia,296535930381.12
43.0,Thailand,407026127310.43396
42.0,Taiwan,589906000000.0
38.0,Netherlands,777227541581.307
35.0,Iraq,171489001692.047
35.0,Sweden,514459972806.171
29.0,Austria,390799991147.46796
28.0,India,2263792499341.01
27.0,United Arab Emirates,348743265704.56104
26.0,Iceland,20047413006.3471
23.0,Belgium,467955709817.539
16.0,San Marino,1590707964.60177
16.0,Vietnam,205276172134.901
15.0,Israel,317744784695.1
15.0,Oman,66293368010.4031
13.0,Lebanon,49598825982.1559
12.0,Algeria,159049096745.249
10.0,Croatia,50714957390.5378
10.0,Denmark,306899653409.601
10.0,Ecuador,98613972000.0
10.0,Macau,44802641829.9265
9.0,Greece,192690813126.86
8.0,Czech Republic,195305084919.138
8.0,Qatar,152451923076.923
6.0,Belarus,47407217531.162
6.0,Finland,238502900311.9
6.0,Ireland,304819020500.641
5.0,Mexico,1046922702460.87
5.0,Pakistan,278913371202.065
5.0,Portugal,204836597909.466
4.0,Brazil,1796186586414.45
4.0,Romania,187592037839.96802
4.0,Senegal,14683697630.9
3.0,Azerbaijan,37847715736.0406
3.0,Georgia,14378016729.1587
3.0,New Zealand,184969146624.47
3.0,Philippines,304905406845.291
3.0,Russia,1283162985989.3
2.0,Egypt,332791045963.807
2.0,Estonia,23337907618.5174
2.0,Hungary,125816640420.569
2.0,Indonesia,932259177765.307
1.0,Afghanistan,19469022207.6852
1.0,Andorra,2858517699.11504
1.0,Argentina,545476103427.247
1.0,Armenia,10572298341.5618
1.0,Cambodia,20016747754.0192
1.0,Chile,247027912574.35
1.0,Dominican Republic,71583553487.5646
1.0,Jordan,38654727746.4789
1.0,Latvia,27572698481.8766
1.0,Lithuania,42738875963.3703
1.0,Luxembourg,58631324559.4484
1.0,Morocco,103606321692.58199
1.0,Nepal,21131983246.1855
1.0,Nigeria,404652720164.859
1.0,North Macedonia,10899583154.6499
1.0,Poland,471364408713.956
1.0,Saudi Arabia,646438380560.0
1.0,Sri Lanka,81321876307.2556
1.0,Tunisia,42062549394.7859
1.0,Ukraine,93270479388.5243
80271.0,China,11199145157649.2
153.0,US,18624475000000.0
52.0,Australia,1204616439828.41
33.0,Canada,1529760492201.35
